"","s1","s2","s3","s4","s5","sp","w1","w2","w3","w4"
"10041",152.746625195405,168.669539039628,170.775339054496,168.060599425912,151.602860115741,94.2446731456269,85.6753905854734,55.8053930205929,49.4147043856725,118.373831290972
"10054",158.112640336086,169.532715885552,170.736823700162,167.330184738321,149.778406973913,112.746191069831,84.7105827165486,59.1168530473007,64.6792538382693,121.480515837862
"10078",144.373289131767,167.029995180107,170.020975048459,167.626701462446,146.475266889114,93.0681922810939,101.012581026683,75.7099394937177,66.5257114459408,118.631649018032
"10080",144.40855625826,161.605027960304,169.146743239451,165.270912475594,149.336904741618,108.311057348873,95.9713568366562,73.5917085903363,73.6915600740686,132.819168664012
"10086",155.700314002284,168.638522432751,170.660347404475,166.633130395535,154.359066933038,104.060181318132,100.909149916203,78.4995284676566,67.6185821571385,128.823212791218
"10087",148.141489589878,166.973279060656,170.409132572031,165.918822312824,149.900693364292,104.481717201087,103.173302050535,69.0792286154832,55.2677020389267,121.972361307327
"10090",147.794464076825,163.002883006737,165.438118121527,159.066331089098,157.590157264514,128.4825366778,112.230187733291,110.613551009974,107.121400338139,139.800502601099
"10091",145.144124458528,166.04981539899,170.387192655984,164.174554027247,147.081968875521,93.6391737756192,81.2021438082712,60.4049925391358,59.8333070339414,114.213108728546
"10110",158.379354156961,170.152430093048,170.772454148303,167.801905916731,150.926773934402,107.246533691136,82.8519847833327,57.9124481384505,61.8310746980834,122.108113021757
"10113",161.639125942741,170.4831033036,170.798046892682,168.63472833787,149.938373300752,112.670989668324,88.8138823444812,59.8472610114576,69.3578717387169,123.609646453118
"10126",163.676138618575,170.424529700005,170.559401968451,166.755700417428,147.19784380265,118.954353786347,73.6416369332513,43.1456057226135,58.5707555961085,114.925947283374
"10136",164.414939345451,170.74930239639,170.807276320732,166.212219733879,140.480903094135,111.776207767384,70.1854050751924,41.6374139127114,61.6581764433224,106.942323036212
"10137",156.140110372237,167.988115891537,168.158955598965,167.603358570519,159.042977060877,124.851403300106,118.77997211051,103.770494339868,105.458151492617,139.443085108774
"10149",157.354998092894,167.226513528937,170.622397808967,168.387892572866,153.258056038525,115.516701800573,99.0451819153116,73.2254102160806,67.6545893881479,127.383730733319
"10156",151.497353607095,169.551852475001,170.619681578328,164.500981821162,143.886895434276,103.065470877636,85.3107498308254,66.8090000809366,63.1008271416403,117.596409091259
"10181",136.888172523319,164.649238966875,169.819045271855,162.3487730004,144.661682049222,93.4759007712502,83.2891843984501,62.6669560208158,63.4419233780991,111.510057664123
"10183",152.802139904355,167.998073728214,170.236129884064,164.445836685357,146.297084946196,106.147354003582,90.5236807290863,71.344410066876,64.9289046944514,122.158012376674
"10194",143.363553403429,164.384492413272,169.436517981585,164.31287474184,144.699275402395,90.442820635043,80.3527820655725,56.8639392808356,59.9974531340088,113.079829852954
"10197",152.319783207827,167.831314325897,170.090051509848,163.642457002344,146.545215151049,109.791997771187,96.9411879022065,74.6319700991754,68.2147050441181,119.910772853371
"10206",142.344757928822,161.762285956368,168.597717778676,161.713706418989,138.88710962529,88.3571760171921,55.7598822946206,47.7735922748549,59.700165531239,94.5141523134066
"10212",141.490040472174,160.562621973189,168.538714130028,164.237196152377,144.267325406538,103.175903067354,82.0647556296067,72.2488967016166,72.5587227969389,114.354580493064
"10213",145.108228003232,163.985064223846,169.635403874052,162.546323453108,143.221404917646,114.389398225571,87.1322599720486,70.6876046172128,69.5114804345841,111.692481157204
"10216",138.827478433944,162.526701070097,169.694473801877,163.266608699854,141.072454551072,90.425017161834,80.5721883835141,61.3021537133885,60.5071357079794,105.955517021066
"10223",137.274434074589,156.836239652598,167.433920524428,162.834894156923,141.027397786886,91.2679472944201,84.791967193253,67.6815938679888,77.4261073811262,114.802199345879
"10224",134.708171624834,158.443906292506,168.028873458472,162.996232889181,138.825605162431,97.2315779472856,71.6406440546865,59.1619781115096,61.9869122525823,105.679742296329
"10229",145.378176195326,167.360361902485,169.670420703697,164.223630296336,138.141485794315,99.4053011848854,70.2493433402068,61.9429885403323,65.7403872490451,101.501993892439
"10232",125.421054902714,150.273182570952,164.575532313857,160.045438444763,139.94761078762,88.2705763944056,90.0020505382231,75.664131931283,72.4997048824989,111.980514149794
"10238",150.787077605124,167.40990877899,169.740467586026,162.400650289665,136.964188579011,110.682748468475,75.1500812059596,67.8706020206024,70.4580771039094,98.846782166673
"10240",131.638696453231,152.3862509966,162.816394326686,156.374582946124,135.37839856348,91.2500439721252,84.7796158181541,67.1445951133311,71.9746700907346,111.770857131127
"10256",142.586200909941,163.655559816073,166.776590868713,151.355649433522,115.377531254543,96.9600650420885,38.7904688414251,22.2018451365306,30.913762452825,79.3343487819995
"10264",137.746178568095,157.032266258906,161.503561265051,154.269461671561,129.217391828401,75.8827525781245,60.3105597904444,45.3523341075227,41.5081730508064,99.7566562113049
"10291",144.315520860558,165.002365581273,170.8061035384,167.74336096701,151.15352362229,99.0675569855201,81.6869175654551,56.3478500539737,57.2704236228789,121.344059573687
"10292",150.494331784281,164.422475772968,170.752311923433,166.707748440173,147.472421939081,95.9958194930772,72.1544830458145,55.4464507076116,60.1756587059595,112.496238988577
"10298",158.530114071862,168.346277637892,170.311255279802,166.06666098576,146.363498100697,124.876751487269,81.0783924486915,56.3090239642222,79.6299635167064,119.162370013744
"10300",153.210757026106,166.395527052236,170.505722435401,168.14859790953,152.933348729169,107.269736651449,94.5992994629283,64.9231296471355,64.672471729429,127.474696429277
"10303",160.754071263325,169.325907434924,170.763136967746,166.464456410665,150.073346906768,111.821472626459,89.6235376234183,69.9819640396726,72.9477303178616,119.988944153579
"10309",149.572868478304,161.945199590028,168.929468619278,164.663036812172,148.381478641653,102.592791387503,93.3827587188756,72.187969476093,71.1693327640605,124.510168815501
"10311",153.034549724778,167.78233604853,170.462800113983,161.472251681771,145.332741494037,114.122765877125,105.562116020185,90.442820635043,84.7984398981635,122.63853703495
"10318",133.05860611206,163.388027034088,169.684929179247,163.743106385492,143.883839507576,92.3132007495292,80.9739528588614,57.7721219653179,58.5707555961085,119.765429908013
"10319",128.668411567959,163.878245542198,168.922147574767,166.088256386535,147.505247084891,92.7885142566958,83.159602480199,50.9166194920198,49.717073954915,110.225323001185
"10324",164.729938996095,170.788945773552,170.8119049782,168.182635189045,151.752071463045,112.038686411245,81.8241783887304,68.5448709958176,66.7813828354384,115.446579938656
"10328",162.623769407455,165.5297559471,169.16039498792,161.011835270431,145.969664909508,112.236125900415,77.4408582933636,55.610149719447,53.6173544918967,119.57080042101
"10331",157.415953229598,168.42557779432,170.817273188369,167.421353929542,148.636593757754,113.764367970066,76.6673022971888,57.0648287720361,66.0293359212409,119.472631834679
"10332",156.981176731076,168.180219564505,170.819558633856,167.029117913739,145.651630585396,115.285176423242,68.6573788909117,56.2872819972399,69.1579864092422,114.038461599337
"10338",165.438118121527,170.614616379939,170.774553436686,162.019290927752,135.827255206209,127.672335062391,46.4958713731118,35.051744787338,59.198832236441,109.914628255132
"10375",131.516484019729,152.759696340554,164.985226139028,157.04746742193,133.680607980752,93.5450605432954,80.6212114760498,71.3091164448535,71.4100504749204,105.731491891028
"10398",139.314380775171,165.553129889771,166.710991986313,153.967236995734,125.545794638291,83.5312857548165,61.9237158083904,45.6339011457118,49.8834742425178,89.1896686763565
"10409",123.256256027111,151.851282988047,162.809761438941,156.811620495841,135.465900286939,80.4767006499549,77.3407467244589,58.8643392446963,54.2102684572194,106.505414015205
"10410",143.886895434276,162.023518892126,164.599840649849,149.615795153686,115.929444033731,95.3525836802489,54.9666296613832,39.0209898512174,45.9834380747474,85.6753905854734
"10421",103.646583084397,120.265941461868,144.418046687715,139.969895694919,116.185131469557,75.6715868069574,73.7359318127425,58.6651326875937,51.7732396715096,92.012699623593
"10425",138.902825939763,155.97486881918,160.970830012877,153.852482783985,130.897840002511,89.3347109308351,79.6884932217302,60.3409130034359,55.2812594047793,100.21715709814
"10582",148.812348851434,167.611475142051,170.729370638694,167.407937866543,147.773409070297,104.94600214952,73.2492041418752,40.940489741429,51.08481628301,114.962317231126
"10858",143.068897235514,158.987623787566,166.253271399884,158.266266043407,136.321909095763,89.4972221371773,70.1351634529149,65.0444011186516,67.4673360630584,100.826886995255
"10875",134.868054719392,156.942287458464,160.257067960488,152.674636197852,127.907096943979,64.7159354104674,58.3685347059354,51.9186625121774,46.4379054704013,92.6018439492595
"10876",122.946327588285,154.628512632603,162.772178816792,157.363635551607,135.970907606957,76.794763121634,77.1028560480232,67.2051174296588,62.5792155131657,102.689699569314
"10877",111.584237589889,144.432052762926,162.908272340851,156.556114721738,131.413457790371,73.2254102160806,69.0523907031215,57.8833006033334,59.8711822432387,99.9968305864552
"10880",125.099745469183,137.25888954084,162.978685274007,151.806163690819,127.138304616327,76.6914338768027,59.5416817407746,53.8076152421086,46.4049494691399,88.6427241577024
"10898",131.339660375795,156.142901895984,165.366808594965,155.38495228478,122.804044228937,83.1873750403688,53.4971636798557,40.2203510005781,34.8531677558101,79.3561937073419
"11435",138.508597075502,123.403220698782,170.605415582953,168.135849237706,153.967236995734,98.7949367435235,87.4984226310348,57.3072867731115,58.0147039330937,124.078355092962
"11438",157.630058707992,169.431843925182,170.818030770043,166.627832338431,143.733852978218,115.348733706838,58.5201983275049,32.2668684136498,47.4424053625981,107.730566527817
"11486",129.384345150046,140.328016159198,141.849573834533,151.876864655519,129.76240736732,73.4091679267946,51.7180901788708,31.3084459448045,39.2091552789598,103.500670862862
"11488",158.424061438378,169.710958315625,170.786096098348,167.239993482589,151.957483835155,107.677909476152,89.4186238115443,64.4736301920078,63.634352481958,124.973522831188
"11492",158.433616825203,170.003464953184,170.011236373254,162.727699831077,147.383191058846,116.000830505519,72.0228486191734,50.4851493983861,67.0638927963337,113.605474913306
"11511",152.489547083984,164.479012466714,170.744753009378,168.057615668461,151.538966167778,103.442265372141,86.1188239117437,67.257567006529,61.492382887885,125.406359925533
"11513",156.094558858159,168.553457052262,170.753122935691,166.44548679366,148.297942357641,114.913326325137,81.6326344061153,68.0458770030581,65.9334013776143,122.44359469162
"11530",148.602593422621,160.742285151546,167.965640681653,167.234622340184,158.487878034573,105.764338764283,97.1235820161848,61.7034057070334,62.9150403302201,138.733644610896
"11533",153.304191038835,168.475698455006,170.800157188161,165.029046758127,143.223212653212,114.133262314496,78.1501177456042,47.9881315083374,50.4284016915318,122.211382602033
"11534",147.747042051115,164.274880745135,170.746281886449,168.186040247944,152.823340068862,105.00741399174,84.5370356274357,65.0444011186516,60.5938622207086,124.099702672456
"11543",153.085626375304,166.266228555699,170.439876048564,167.926075411769,151.396259695386,101.495032338244,88.4904759454515,68.7940263578431,66.9214607476194,124.818159610737
"11552",150.938912674655,166.959459656907,170.740942824801,167.479276017886,147.668973225346,115.858625942068,94.7114959942275,71.2228341659211,81.7954545763428,121.582726733673
"11559",148.413560266636,161.953987297337,168.333821977067,163.845420176494,148.123871601287,108.590889723809,85.72931334123,53.7580745747807,69.6273367022895,121.637841392323
"11571",135.26147803049,153.053908734501,170.272947356872,165.280544146697,149.980923721906,106.826591178575,84.2394797820791,62.0544342543774,63.1192597547636,124.209669755713
"11575",151.693174936858,167.287141886155,167.527554949647,163.351067543352,149.640565210302,110.719637768204,92.6703099544083,68.7043361030924,71.4349466045227,127.543600858364
"11605",149.80852782345,168.557659793299,170.78061981719,167.646119104163,151.743190737299,100.730859442304,82.000995819595,59.3798344551978,58.71351259175,124.320440537686
"11611",150.869081046657,167.622698399986,170.49198450056,168.03494407853,151.215431160784,84.653718432068,89.0870569088189,65.2008656779142,56.0786864715336,121.54866894917
"11633",123.059923793008,156.589454383635,166.622000180223,165.67222356145,142.973108047883,92.5084435687365,89.5168275366527,71.9913660933707,70.2664317640427,119.490136992198
"11640",144.323869646415,164.219829063626,170.470410295349,167.370054379342,149.837040303958,98.696322048352,84.626518151459,60.172960727945,54.0421756348123,123.186556054822
"11643",134.212146278443,147.864567110511,165.059455436728,164.706043388077,150.91189785935,101.273591849129,91.5872876464587,67.4461065240655,66.6602831048269,123.361255683909
"11644",110.138636876541,134.149688363978,168.265527596107,161.12778504605,143.638052365814,92.2903408389868,117.046304633462,87.4945989612183,76.4647121750139,141.213019691846
"11649",140.87153630246,166.656265822058,168.723374056554,161.307271222109,138.223209835366,103.675748123517,80.7332357530439,59.5532426082549,65.4346310126039,112.060651354609
"11651",153.81721912442,164.927890471627,168.307738490804,162.246136609492,145.883787002571,114.762133452754,89.3708347753377,78.7334248821247,74.3699888667221,123.091187453612
"11652",143.391195698312,160.54998882996,168.626395460405,164.095342394467,145.83128209838,108.858578186787,97.5787361157704,74.5892661916042,70.6145822803923,128.62248436725
"11657",133.826779945501,155.257063166301,168.788558985696,167.373507015471,153.853657519936,100.068957868181,88.5928921143811,72.6349596587266,75.939518194364,119.639289829361
"11665",145.108228003232,162.402188601779,168.562811925453,163.337083869597,146.216578237335,106.462532887436,86.6034810215563,69.7925050791307,68.4009268183696,118.373831290972
"11667",146.598431296155,163.889034780427,169.942904126472,164.837818959291,149.550908832755,107.663908483995,103.343372573774,79.206371578913,75.0125646147685,123.754940090034
"11677",143.561854250771,157.194634453032,168.271875045716,164.906514356328,153.514878995977,106.104665365185,60.6516804427114,58.956871017453,58.00459559434,136.116286362368
"11684",157.015153401764,165.757022375679,168.326233061267,166.852308396064,162.801984115131,146.843681105024,154.807525517661,149.11266780631,139.098909275006,160.810194438832
"11687",153.393507878084,164.136868278257,168.889680630253,163.021003560211,136.690291467426,113.734480892956,82.6082191892029,64.963554557699,56.3190076858635,109.672883946069
"11688",146.576064463432,164.799155163499,170.036644315218,165.409087170472,144.379168916575,104.445382531142,80.8694782395293,53.7900046533139,63.0589344156837,106.722470527465
"11689",154.960956988352,167.745268515727,170.641423345014,168.112604448712,161.954883720523,117.233850138453,126.291108748459,103.243513562976,100.859986427552,147.832034601876
"11690",133.125012058703,158.157442118946,169.444245052643,163.645753108532,141.762761567284,106.925208509498,94.4143597443181,69.2301736100872,73.6138996038024,119.440418649721
"11700",151.497353607095,169.551852475001,170.619681578328,164.500981821162,143.886895434276,103.065470877636,85.3107498308254,66.8090000809366,63.1008271416403,117.596409091259
"11714",147.685309300762,164.512635625974,170.454426695003,165.400431351986,148.104482680263,98.6100514994605,89.6487920679761,65.6602230864317,64.2357516007396,119.931103467984
"11719",148.091551460153,164.37592178162,170.384883060655,164.671872481741,143.058433850328,108.828845499368,90.4683203405284,71.3899944725544,66.5434192149172,118.71354293113
"11728",160.089908878588,164.580651104536,167.747960398925,170.096931540084,166.391035891233,142.147207864269,160.658250723023,150.854797001388,133.723389809173,165.855010431969
"11736",150.654200055434,167.001867086748,170.612166743323,164.942827990079,144.975160478501,98.8112310855007,87.9412033127769,61.5768003141559,60.5360444247164,116.675014101642
"11737",136.988802678358,151.579268254186,159.421637488334,158.805983699331,135.967810715267,105.145793776749,96.3996530780402,79.9061328668426,82.3158827164109,115.695850639092
"11738",141.482715449155,160.810194438832,169.889723049264,166.455220501828,147.047796287585,93.1799530222602,94.0403744592755,65.1117698712129,65.4346310126039,123.689278341899
"11740",144.664019345053,166.137489128151,170.55504996936,166.858303779638,150.501909605652,102.92656739189,88.8588116531841,60.6444531403787,67.5278375248897,120.750897942394
"11749",150.02790288658,164.260071700599,169.395312034163,167.482003252945,154.75000122226,127.309792950273,95.2824353377572,92.9523374752075,89.1283922908641,131.06314115048
"11754",145.073500758191,161.884807839066,168.439320601084,164.705290361328,141.304558185333,99.0571985409265,84.157673674748,61.8080785275973,60.1039496470509,114.673937240902
"11756",136.444951555697,158.659609470136,170.236629281284,162.75924376434,144.389569626486,96.7029984667927,79.1275923935898,60.4882822562432,63.4267519809856,119.287501787429
"11758",148.633502459433,164.419066561151,169.552314171374,164.740897375358,148.026831492017,109.151405521351,97.3618110878082,73.4918363718778,71.8911824239955,122.109021400891
"11763",148.639114191521,165.699719896703,170.314931077807,166.850508807776,151.25408247493,100.726981334829,98.2743153173209,71.2576074518624,67.5914372808327,129.952225524269
"11770",142.461022847244,161.817987993665,169.342072780537,165.335266180758,150.500466349877,95.7936051808285,102.915575634914,66.8621080696873,57.7444384587488,131.527662758986
"11772",137.734248503613,159.511931260562,170.1496806366,168.260904549052,150.740411947035,91.9846024850548,91.3056225265736,67.0794129970582,56.7462667405962,127.609362647304
"11775",139.781725202599,166.774154829541,170.437235557673,165.436864252492,147.015884620555,95.0320412181945,90.6702610050508,73.2520593335549,62.3199296373264,119.755404999276
"11776",133.825953467832,166.124037214681,170.584185158616,165.537071515283,144.857589804916,90.2082364332677,92.0679762671124,68.6094266966687,57.8159186354526,118.626499163663
"11783",142.047443990842,165.629034714357,170.253320378006,166.157408225709,148.007394813326,99.8364041660989,91.4625469543762,74.5394398120644,60.6505240714989,118.510557217945
"11791",141.589823389461,162.860542038158,169.518763017871,164.929883389374,147.347443840483,97.3122902308132,85.6295289394488,64.5438548686447,60.8733202415947,117.172232961868
"11793",146.843681105024,166.508541232256,170.481274841653,165.823606171467,149.775829769875,103.90437969074,96.5758330186435,71.4735565480194,63.9090771240745,118.998809569287
"11800",145.880580096838,168.422301629128,170.23604888495,164.463608405621,145.591582165904,105.706851640003,84.9596304950778,62.1228649785605,59.2434007063754,114.867730296896
"11803",152.772435463477,167.992599292662,170.271195985036,166.190978875841,149.988098972855,105.131797879773,94.1000362223193,69.463928027181,62.936318316687,127.182983771039
"11807",143.532229039564,166.187655880414,170.251749276151,165.597664864373,148.051807483313,91.3112073286571,88.1030587747083,61.8620427774517,49.0355614521426,119.645734632205
"11809",129.60019697482,162.505539776779,169.302100642887,163.508517569064,143.912354213339,97.8733927430742,90.5157185841828,71.3411372052041,64.5006971017085,116.023795342002
"11813",147.587193302311,166.571088719912,169.74329147043,166.616260064974,151.547786407454,95.5254491553888,89.8027002470478,67.2224088209323,62.2296642711387,122.688390628236
"11814",151.449652816205,166.292081600181,170.574758563532,165.940052825141,148.959418785022,106.598925904467,91.20239058814,65.787449007765,69.4816783850079,123.200447009073
"11833",138.737405719631,159.876651716096,168.532062912103,163.684422337785,143.467282843135,91.9881148384414,79.2250271267503,56.6536277022502,56.4781158928935,113.207598103485
"11854",155.766017699162,168.943855198128,170.82199153303,167.89177888162,149.169302161411,105.113874289621,77.0582851548525,45.5050486260649,53.1236745473982,114.449120095376
"11856",157.573013586004,169.943509389025,170.814467388307,167.607916625701,149.714436824092,104.880612536711,75.6840113030206,41.5580974033643,50.9356863439881,114.521432469943
"11857",156.102003433272,169.529586175612,170.808671755257,168.140867644773,152.933571059469,106.017862700323,80.6624881938484,45.4015875775379,58.2703212445347,125.695728364739
"11858",157.263949056979,169.929846047922,170.816851005367,168.637224855937,149.667419558165,89.7056040279325,64.6704501346234,38.5403507831403,43.5266890342486,110.740844077924
"11861",155.080867845923,169.990868206403,170.812547097556,167.693864658857,146.801784692163,105.806207232502,67.4444177915274,38.2249167230031,46.9809897366742,108.601418040778
"11864",160.35819572432,168.870197409429,170.786642047253,164.830278439,148.127213577031,106.476828092464,78.7860065397547,42.2744439760275,49.2486314823709,111.699537101675
"11879",149.656291050054,169.051621006534,169.221533690253,156.966600601678,135.619976111892,109.586081628654,74.6667628616287,76.8749947994313,93.2544249990882,111.386322265551
"11888",151.767535477368,166.598725189442,170.685431956659,169.24219298224,152.167797883265,120.331034090515,87.8453151349914,55.4621391382566,63.8312897382635,121.967840141041
"11893",154.88203694476,169.661617914234,170.802197742561,167.896110952228,149.65550127368,108.778908433892,77.405288591149,63.4672088377952,63.4024775582234,119.759341035377
"11907",135.486360729317,160.700926649711,166.356356970405,161.96778649191,139.277169793552,74.7774489549334,84.0192689415827,54.7574946342895,47.3400798275896,118.459844147463
"11908",149.93364341986,161.005771578267,168.040181066051,157.804434203394,151.640489736274,113.273362635002,106.77634862933,86.0978228143626,91.6450516987268,138.853697806032
"11913",154.054049326367,167.881128993906,170.695075386042,168.722705667341,151.833801115961,117.556199147606,85.1711684486255,53.7271135384995,60.9152678892477,132.297000300259
"11920",157.363379531979,169.202463174882,170.762909390368,168.009140609278,150.06795508549,113.091555713623,84.4688254733139,50.3053210662341,60.9188751843334,122.109021400891
"11925",148.878034953535,163.828974775959,170.592928606512,167.211745393989,153.050197545416,103.74166504385,82.4783281105105,56.549768925957,63.9868616196648,120.607184133408
"11930",163.510818904075,169.830893565038,170.816052291832,167.30991219769,147.131669556999,111.477990385434,70.2412245528945,45.2917266467312,59.2138470242707,115.397815842701
